ID,feed,rotate,depth
1,0.05,2000,0.3
2,0.03,2000,1
3,20,20000,0.1
4,0.03,3500,0.1
5,10,2000,0.1
6,0.01,3500,0.5
7,30,20000,0.21
8,20,20000,0.2
9,35,20000,0.2
10,0.02,600,
11,4,1000,0.1
12,20,2000,0.1
13,20,2000,0.5
14,30,10000,0.2
15,0.02,1000,0.1
