ID,name,value,LowerTolerance,UpperTolerance
1,直径,1.9,-0.025,+0.025
2,半径,0.2,-0.1,+0.1
3,角度,90,,
4,直径,2.4,-0.016,-0.006
5,长度,2,-0.12,+0.12
6,直径,1.3,0,0.1
7,长度,2.8,-0.12,+0.12
8,直径,0.35,0,0.06
9,长度,0.25,,
10,直径,1.1,0,0.1
11,长度,0.3,-0.05,+0.05
12,槽宽,0.2,-0.02,+0.02
13,槽深,0.25,-0.02,+0.02
14,槽宽,0.2,-0.02,+0.02
15,槽深,0.25,-0.02,+0.02
