ID,type,DesignData_ID,Roughness,工步_ID
1,端面,,0.4,N1;N4
2,圆面,1,1.6,N2;N6
3,圆角,2;3,1.6,N2;N6
4,端面,,1.6,N2;N6
5,圆面,4;5,1.6,N2;N6
6,端面,,1.6,N10;N11;N15
7,孔,6;7,1.6,N3;N5;N6
8,侧面孔,8;9,1.6,N8;N9
9,孔,10;11,0.4,N12;N13;N14
10,槽,12;13,0.4,N7
11,槽,14;15,0.4,N7
