工艺路线_ID,工序_ID,ID,Precision,Parameter_ID,tool_name
1,10,N1,粗,1,55°R0.4WYD
1,10,N2,粗,2,55°R0.4WYD
1,10,N3,,3,1ZXZ
1,10,N4,精,4,80°WYD
1,10,N5,精,5,1XD
1,10,N6,精,6,80°WYD
1,10,N7,精,7,0.2XD
1,10,N8,,8,0.2XD
1,10,N9,精,9,0.35ZT
1,10,N10,,10,W=2切刀
1,10,N11,粗,11,80°R0.2WYD
1,10,N12,,12,1zxz
1,10,N13,粗,13,1ZT
1,10,N14,精,14,1XD
1,10,N15,精,15,80°WYD
