ID,tool_no,tool_name
1,T1,55°R0.4WYD
1,T2,1ZXZ
1,T3,1XD
1,T4,80°R0.2WYD
1,T5,0.2铣刀
1,T6,0.35ZT
1,T7,W=2切刀
1,T8,1钻头
