ID,name,value,LowerTolerance,UpperTolerance
1,槽宽,0.6,0,0.06
2,槽深,0.6,-0.05,+0.05
3,直径,0.4,-0.01,+0.01
4,角度,60,-0.5,+0.5
5,直径,4,,
6,直径,1.4,,
7,直径,6.6,0,0.1
8,长度,1.2,0,0.05
9,直径,5.2,0,0.1
10,长度,3.4,-0.15,0.15
11,直径,4,0,0.012
12,长度,12.3,,
13,螺距,M5*0.8-5H6H,,
14,直径,1.5,-0.025,0
15,半径,0.5,-0.2,+0.2
16,角度,110,-0.25,+0.25
17,直径,7.8,,
18,直径,1.5,,
19,直径,7.8,-0.06,0
20,直径,10.6,-0.07,0
21,角度,74,-0.25,0.25
22,半径,0.2,-0.1,+0.1
23,角度,90,,
24,直径,7.4,-0.15,0
25,角度,14,-1,1
26,直径,6.6,-0.15,0
27,半径,0.5,-0.2,0.2
28,角度,90,,
