ID,type,DesignData_ID,Roughness,工步_ID
1,斜槽,1;2,0.8,N19;N20
2,孔,3,0.4,N7;N17;N18
3,锥孔,4;5;6,0.4,N5;N6;N8;N9
4,孔,7;8,3.2,N2;N3;N4;N12
5,孔,9;10,3.2,N3;N4;N12
6,倒角,,3.2,N3;N4;N12
7,孔,11;12,0.4,N3;N4;N12
8,螺纹,13,3.2,N13
9,端面,,0.8,N14
10,圆面,14,3.2,N15;N16
11,圆角,15,3.2,N15;N16
12,锥面,16;17;18,1.6,N15;N16
13,圆面,19,0.4,N15;N16
14,端面,,,
15,圆面,20,,N1;N10
16,锥面,21,,N10
17,圆角,22;23,,N10
18,圆面,24,,N10;N11
19,锥面,25,,N10
20,圆面,26,,N10;N11
21,圆角,27;28,,N10
