ID,tool_no,tool_name
1,T1,35°R0.4外圆刀
1,T2,2中心钻
1,T3,3.8钻头
1,T4,3内孔刀
1,T5,0.3钻头
1,T6,3.3 60°埋钻
1,T7,3.9 60°埋钻
1,T8,35°R0.2外圆刀
1,T9,w=2切刀
1,T10,3内孔刀
1,T11,螺纹铣刀
1,T12,55°R0.4外圆刀
1,T13,80°R0.2外圆刀
1,T14,0.4带台钻头
