ID,feed,rotate,depth
1,0.05,2000,0.445
2,,,
3,15,1000,10.88
4,0.03,1500,
5,15,15000,5.2
6,10,500,13.9
7,10,500,14.2
8,0.03,3000,0.297
9,0.03,2000,
10,0.02,3000,0.02
11,500,800,0.02
12,0.02,500,
13,0.03,2000,
14,0.005,3000,
15,20,3000,
16,40,3000,
17,500,20000,0.095
18,500,20000,0.095
