ID,name,value,LowerTolerance,UpperTolerance
1,半径,0.1,-0.07,+0.07
2,角度,270,,
3,直径,1.9,-0.025,+0.025
4,直径,3,-0.016,-0.006
5,长度,4.5,-0.15,+0.15
6,直径,1.3,-0.05,0.1
7,长度,5.5,,
8,角度,120,-0.1,+0.1
9,直径,0.4,-0.03,0.06
10,长度,0.4,,
11,直径,1.1,0,0.1
12,长度,0.4,-0.1,+0.1
13,槽宽,0.2,-0.1,+0.1
14,槽深,0.24,-0.01,+0.01
15,槽宽,0.2,-0.1,+0.1
16,槽深,0.24,-0.01,+0.01
