ID,type,DesignData_ID,Roughness,工步_ID
1,端面,,0.8,
2,圆角,1;2,1.6,N1;N7;N77
3,圆面,3,1.6,N1;N7;N77
4,端面,,1.6,N1;N7;N77
5,圆面,4;5,1.6,N1;N7;N77
6,端面,,1.6,N12;N13;N14
7,孔,6;7;8,1.6,N15;N16
8,侧面孔,9;10,1.6,N9;N10;N11
9,孔,11;12,0.8,N2;N3;N4
10,孔,13;14,0.4,N5;N51;N6;N8
11,孔,15;16,0.4,N5;N51;N6;N8
