ID,feed,rotate,depth
1,0.02,1000,0.5
2,20,10000,
3,20,20000,0.25
4,10,8000,0.4
5,20,5000,0.1
6,50,25000,0.1
7,10,8000,0.4
8,0.01,4000,0.1
9,0.01,4000,0.1
10,20,5000,0.1
11,10,5000,0.15
12,0.02,3000,0.2
13,10,1000,0.2
14,0.1,600,
15,0.03,2000,0.2
16,0.02,2000,0.1
17,0.05,1000,0.15
18,10,7000,0.65
