ID,tool_no,tool_name
1,T1,55°R0.4WYD
1,T2,0.5铣刀
1,T3,0.3带台ZT
1,T4,W=2切刀
1,T5,2.5ZXZ
1,T6,6XD
1,T7,2ZT
1,T8,2.3NKD
1,T9,0.2带台ZT
1,T10,36°mz
1,T11,内孔刀
1,T12,55°R0.2WYD
1,T13,0.5带台ZT
1,T14,W=2切刀
1,T15,55°R0.4WYD
1,T16,90°埋钻
1,T17,90°zxz
1,T18,80°R0.2WYD
1,T19,w=1.4切刀
1,T20,35°R0.2WYD
1,T21,0.2铣刀
