ID,name,value,LowerTolerance,UpperTolerance
1,直径,1,-0.02,+0.02
2,半径,0.1,-0.07,+0.07
3,角度,240,,
4,角度,120,-0.25,+0.25
5,直径,3.9,0,0.012
6,直径,1,-0.02,+0.02
7,直径,3.9,0,0.012
8,角度,30,-1,+1
9,长度,0.05,,
10,直径,4,0,+0.12
11,长度,1.7,,
12,角度,45,-5,+5
13,长度,0.2,-0.1,+0.1
14,直径,5.4,0,+0.12
15,长度,0.25,-0.05,+0.05
16,直径,5.1,-0.12,0
17,长度,3.1,,
18,直径,7.3,-0.1,0
19,长度,0.8,,
20,角度,45,-5,+5
21,长度,0.2,-0.1,+0.1
22,角度,90,,
23,半径,1.3,-0.5,+0.5
24,角度,240,,
25,角度,120,-1,+1
26,直径,5.1,-0.12,0
27,直径,2.7,-0.1,0
