工艺路线_ID,工序_ID,ID,Precision,Parameter_ID,tool_name
1,20,N1,粗,1,55°R0.4WYD
1,20,N2,粗,2,0.5ZT
1,20,N3,粗,3,0.8ZT
1,20,N4,精,4,80°R0.2WYD
1,20,N5,粗,5,W=2切刀
1,20,N6,粗,6,55°R0.4WYD
1,20,N7,粗,7,1.5zxz
1,20,N8,粗,8,3.7zt
1,20,N9,粗,9,内孔车刀
1,20,N10,粗,10,内孔车刀
1,20,N11,精,11,80°R0.2WYD
1,20,N12,精,12,0.4内孔镗刀
1,20,N13,精,13,0.4内孔镗刀
1,20,N14,精,14,0.4内孔镗刀
1,20,N15,精,15,5.8MZ
1,20,N16,精,16,1内孔镗刀
