ID,feed,rotate,depth
1,0.02,1000,0.75
2,0.02,800,
3,0.005,1000,
4,0.01,4000,0.1
5,0.03,10000,0.1
6,0.02,800,0.3
7,0.02,800,
8,0.02,600,
9,0.02,800,0.1
10,0.02,800,0.2
11,0.05,3000,0.1
12,0.08,1600,0.05
13,0.08,1600,0.08
14,0.08,1600,0.08
15,0.01,3000,0.2
16,0.008,3000,0.09
