ID,type,DesignData_ID,Roughness,工步_ID
1,孔,1,0.4,N2;N3;N16
2,圆角,2;3,3.2,
3,锥孔,4;5;6,3.2,N15
4,孔,7,0.8,N7;N8;N12
5,倒角,8;9,3.2,
6,孔,10;11,1.6,N7;N8;N9;N13
7,倒角,12;13,3.2,
8,孔,14;15,1.6,N7;N8;N10;N14
9,圆面,16;17,3.2,N1;N4
10,圆面,18;19,3.2,N1;N4
11,倒角,20;21,3.2,
12,圆角,22,3.2,
13,圆角,23;24,3.2,N4
14,锥面,25;26;27,3.2,N4
15,端面,,3.2,
16,端面,,0.8,N4
17,端面,,0.8,N6;N11
