ID,feed,rotate,depth
1,0.05,1000,0.5
2,0.02,1000,0.1
3,0.008,5000,
4,0.01,4000,0.1
5,0.015,800,
6,0.02,1000,0.2
7,0.02,600,1.25
8,0.015,1200,1.4
9,0.015,1200,1.9
10,0.015,1200,2.25
11,0.015,1200,2.8
12,0.015,800,2.9
13,0.01,4000,0.1
14,0.02,3000,0.1
15,0.015,3000,0.1
16,0.02,3500,0.1
17,0.01,4000,0.1
18,0.015,4000,0.1
19,0.01,4000,0.1
