工艺路线_ID,工序_ID,ID,Precision,Parameter_ID,tool_name
1,10,N1,粗,1,35°R0.4WYD
1,10,N2,,2,1ZXZ
1,10,N3,粗,3,1.2ZT
1,10,N4,精,4,80°R0.2WYD
1,10,N5,,5,W=2切刀
1,10,N6,粗,6,55°R0.2WYD
1,10,N7,,7,2.5ZXZ
1,10,N81,粗,8,2.8ZT
1,10,N8,粗,9,3.8ZT
1,10,N9,粗,10,4.5ZT
1,10,N10,粗,11,5.6ZT
1,10,N11,粗,12,5.8MZ
1,10,N12,精,13,55°R0.4WYD
1,10,N13,精,14,3内孔刀
1,10,N14,精,15,3内孔刀
1,10,N15,精,16,3内孔刀
1,10,N16,粗,17,1内孔刀
1,10,N17,半精,18,内孔镗刀
1,10,N171,精,19,内孔镗刀
