ID,tool_no,tool_name
1,T1,35°R0.4WYD
1,T2,1ZXZ
1,T3,1.2ZT
1,T4,80°R0.2WYD
1,T5,W=2切刀
1,T6,55°R0.2WYD
1,T7,2.5ZT
1,T8,2.8ZT
1,T9,3.8ZT
1,T10,4.5ZT
1,T11,5.6ZT
1,T12,5.8MZ
1,T13,55°R0.4WYD
1,T14,3内孔刀
1,T15,1内孔刀
1,T16,内孔镗刀
