ID,name,value,LowerTolerance,UpperTolerance
1,直径,10,-0.1,-0.05
2,长度,0.8,-0.03,+0.03
3,角度,30,-1,+1
4,角度,270,,
5,直径,8,-0.15,0
6,半径,1.3,-0.5,+0.5
7,角度,240,,
8,直径,1.36,-0.02,+0.02
9,半径,0.1,-0.07,+0.07
10,角度,120,-0.25,+0.25
11,半径,6,,
12,半径,1.36,,
13,直径,6,0,0.012
14,长度,5.3,,
15,直径,6.2,0,0.15
16,长度,3.8,,
17,角度,270,0,0
18,直径,7.2,-0.1,-0.05
19,长度,0.25,0,0
