ID,type,DesignData_ID,Roughness,工步_ID
1,端面,,0.8,N5;N6;N12
2,圆面,1;2,1.6,N1;N4
3,倒角,3;4,3.2,N1;N4
4,端面,,3.2,N1;N4
5,圆面,5,3.2,N1;N4
6,圆角,6;7,3.2,N1;N4
7,锥面,,3.2,N1;N4
8,端面,,3.2,
9,孔,8,0.4,N2;N3;N16;N17;N171
10,圆角,9,0.4,N15
11,锥孔,10;11;12,0.8,N7;N81;N8;N9;N10;N11;N15
12,孔,13;14,0.8,N7;N81;N8;N9;N10;N14
13,倒角,,3.2,N14
14,孔,15;16,0.8,N7;N81;N8;N9;N10;N11;N14
15,倒角,17,3.2,N14
16,孔,18;19,1.6,N7;N81;N8;N9;N10;N13
