ID,tool_no,tool_name
1,T1,55°R0.2外圆刀
1,T2,0.5铣刀
1,T3,0.5钻头
1,T4,W=2切刀
1,T5,2中心钻
1,T6,2钻头
1,T7,1钻头
1,T8,2铣刀
1,T9,R0.2内孔刀
1,T10,0.2钻头
1,T11,36°mz
1,T12,1.2铣刀
1,T13,90°zxz
1,T14,40097515
1,T15,0.6zt
1,T16,0.65zt
1,T17,0.7铰刀
1,T18,12铣刀
1,T19,W=2切刀
1,T20,55°R0.2WYD
1,T21,2中心钻
1,T22,90°埋钻
1,T23,55°R0.2WYD
1,T24,35°R0.2WYD
1,T25,6铣刀
1,T26,55°R0.2WYD
1,T27,0.3铣刀
1,T28,球头铣刀
