工艺路线_ID,工序_ID,ID,Precision,Parameter_ID,tool_name
1,10,N1,,1,55°R0.2WYD
1,10,N2,,2,0.5铣刀
1,10,N3,,3,0.5钻头
1,10,N4,,4,W=2切刀
1,10,N5,,5,2中心钻
1,10,N6,,6,2zt
1,10,N7,,7,w=2切到
1,10,N8,,8,1zt
1,10,N9,,9,2铣刀
1,10,N10,,10,2铣刀
1,10,N11,,11,R0.2内孔刀
1,10,N12,,12,0.2钻头
1,10,N13,,13,36°mz
1,10,N14,,14,36°mz
1,10,N15,,15,36°mz
1,10,N16,,16,36°mz
1,10,N17,,17,1.2铣刀
1,10,N18,,18,90°zxz
1,10,N19,,19,55°R0.2WYD
1,10,N20,,20,2中心钻
1,10,N21,,21,0.6zt
1,10,N22,,22,0.65zt
1,10,N23,精,23,0.7铰刀
1,10,N24,,24,12铣刀
1,10,N25,,25,W=2切刀
1,10,N26,,26,55°R0.2WYD
1,10,N27,,27,2中心钻
1,10,N28,,28,90°mz
1,10,N29,,29,90°mz
1,10,N30,,30,55°R0.2WYD
1,10,N31,,31,35°R0.2WYD
1,10,N32,,32,6铣刀
1,10,,,33,55°R0.2WYD
1,10,N33,,34,0.3铣刀
1,10,N34,,35,球头铣刀
