ID,type,DesignData_ID,Roughness,工步_ID
1,斜槽,1;2,0.4,N27
2,斜槽,3;4,0.4,N27
3,通孔,5;6,0.4,N16
4,圆面,7;8,1.6,N1;N15
5,端面,,0.8,N4;N24;N25
6,圆角,9;10,1.6,N26
7,圆面,11;12,1.6,N4;N24;N25
8,圆角,13;14,1.6,N26
9,倒角,,1.6,N26
10,圆面,15;16,1.6,N4;N21;N22
11,端面,,0.8,N21;N22
12,锥面,17;18;19,0.8,N21;N22
13,圆角,20;21,1.6,N21;N22
14,圆面,22;23,1.6,N21;N22
15,端面,,0.4,N17;N18
16,喇叭孔,24;25;26,0.4,N19;N20;N23
17,锥孔,27;28;29,0.4,N9;N10;N11
18,圆角,30;31,1.6,
19,倒角,32;33;34,1.6,N14
20,内孔,35;36,0.8,N5;N7;N8;N12;N13;
21,端面,,1.6,N6
22,斜孔,37,1.6,N2;N3
23,斜孔,38,1.6,N2;N3
