ID,feed,rotate,depth
1,0.05,3000,0.5
2,50,10000,0.1
3,75,25000,
4,0.02,3000,0.2
5,40,20000,
6,0.02,800,1.5
7,60,3000,
8,15,3000,3.8
9,10,20000,
10,10,5000,
11,10,5000,
12,0.05,3500,0.0535
13,0.005,3500,0.0535
14,0.01,3500,0.05
15,0.03,3000,0.2
16,70,20000,
17,0.02,1000,
18,0.03,3000,0.2
19,0.005,3000,
20,0.005,8000,
21,0.015,3000,0.1
22,0.01,3000,0.2
23,0.01,3000,0.1
24,0.005,10000,0.2
25,40,2000,0.2
26,0.01,3000,0.2
27,50,25000,0.02
