ID,feed,rotate,depth
1,2000,0.05,1.5
2,4000,0.005,1.846
3,3000,0.01,1
4,4000,0.005,1.846
5,2000,1000,0.1
6,2000,1000,0.1
7,3000,0.01,1.846
8,4000,0.005,1.846
9,800,50,0.8
10,800,50,0.8
11,3000,10,
12,3000,10,
13,2000,30,
14,,,
15,2000,30,
16,,,
17,3000,20,0.5
18,1000,0.05,0.75
