ID,tool_no,tool_name
1,T1,55°外圆车刀
1,T2,1.4切刀
1,T3,R0.235°外圆车刀
1,T4,0.5铣刀2B52-111M
1,T5,螺纹铣刀
1,T6,0.8带台钻头
1,T7,1.5铣刀2BS52-114M
1,T8,切断刀
1,T9,6铣刀
1,T10,中心钻
1,T11,1.8钻头
1,T12,PICCOL0501-7IC908（内孔镗刀）
