ID,type,DesignData_ID,Roughness,工步_ID
1,斜槽,1;2,0.8,N5;N6;N13
2,斜槽,3;4,0.8,N5;N6;N13
3,侧面孔,5;6,3.2,N11;N2
4,侧面孔,7;8,3.2,N11;N2
5,侧面孔,9;10,3.2,N11;N2
6,侧面孔,11;12,3.2,N11;N2
7,螺纹,13,3.2,N9;N10
8,端面,,1.6,N14;N15
9,端面,,3.2,
10,内孔,14;15,3.2,N17;N8
11,锥孔,16;17;18,3.2,N8
12,圆面,19;20,3.2,N4
13,圆面,,,N2
14,端面,,,N4;N8
15,圆角,,,N4;N8
16,圆面,,,N1;N3;N7
17,端面,,,N3;N7
18,圆角,,,N3;N7
19,圆面,,,N3;N7
20,圆角,,,N3;N7
21,锥角,,,N3;N7
22,圆面,,,N3;N7
23,锥角,,,N3;N7
24,圆角,,,N3;N7
